# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,20130101,   71,   49,   88
  260,20130102,   67,   41,   86
  260,20130103,  103,   76,  116
  260,20130104,   93,   83,  103
  260,20130105,   81,   74,   88
  260,20130106,   84,   69,  101
  260,20130107,   73,   61,   84
  260,20130108,   73,   60,   84
  260,20130109,   65,   40,   79
  260,20130110,   55,   -5,   77
  260,20130111,    7,  -24,   38
  260,20130112,    0,  -25,   32
  260,20130113,  -21,  -51,    6
  260,20130114,  -35,  -74,  -19
  260,20130115,  -30,  -58,  -16
  260,20130116,  -72, -129,  -17
  260,20130117,  -53,  -74,  -28
  260,20130118,  -17,  -34,   -1
  260,20130119,  -39,  -52,  -24
  260,20130120,  -46,  -59,  -27
  260,20130121,  -20,  -28,  -11
  260,20130122,  -40,  -84,  -13
  260,20130123,  -52,  -93,  -28
  260,20130124,  -35,  -69,   -4
  260,20130125,  -53, -114,  -19
  260,20130126,  -14,  -44,   15
  260,20130127,   40,   13,   61
  260,20130128,   52,   27,   83
  260,20130129,  107,   83,  130
  260,20130130,  103,   77,  130
  260,20130131,   78,   64,  101
  260,20130201,   49,   18,   74
  260,20130202,   39,   12,   62
  260,20130203,   48,   22,   74
  260,20130204,   82,   66,  102
  260,20130205,   34,    9,   67
  260,20130206,   24,    2,   57
  260,20130207,   22,    4,   55
  260,20130208,    9,  -16,   42
  260,20130209,   -5,  -30,   11
  260,20130210,   -3,  -18,   11
  260,20130211,  -15,  -36,    8
  260,20130212,   -8,  -37,    7
  260,20130213,  -13,  -52,   22
  260,20130214,   -7,  -22,   13
  260,20130215,   42,   11,   80
  260,20130216,   52,   24,   78
  260,20130217,   29,  -19,   73
  260,20130218,   22,  -14,   71
  260,20130219,   30,  -17,   60
  260,20130220,   -3,  -24,   30
  260,20130221,  -12,  -29,   11
  260,20130222,  -20,  -40,   13
  260,20130223,  -15,  -46,    7
  260,20130224,    2,  -11,    9
  260,20130225,   17,    8,   27
  260,20130226,   32,    8,   60
  260,20130227,   10,   -2,   25
  260,20130228,   23,    6,   52
