"Data Source";"World Development Indicators";

"Last Updated Date";"2017-04-27";

"Country Name";"Country Code";"Indicator Name";"Indicator Code";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";
"Aruba";"ABW";"Access to electricity; urban (% of urban population)";"EG,ELC,ACCS,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"78,2230397485716";"78,7368760945041";"79,1373603631608";"79,5098178062387";"79,8949582284915";"80,282012482153";"80,6570627106798";"81,0112445135179";"81,3380841771194";"81,6333324863907";"82,1551751759552";"82,1856703766879";"82,4770159979824";"82,779526967331";"83,0861609568378";"83,3903189300521";"83,6892083315927";"84,0163674093218";"84,342868349362";"84,6713327197681";"84,6458209427379";"85,3936589019619";"85,817481334369";"86,277674246763";"86,7597883700123";"";"";
"Afghanistan";"AFG";"Access to electricity; urban (% of urban population)";"EG,ELC,ACCS,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,48605928962611";"14,4339579648907";"26,237630176125";"53,6295325753846";"56,6776596171251";"61,1149190242264";"64,9498561065472";"73,843023880721";"72,825720642722";"74,1189858927002";"81,0145374608086";"84,6104292902408";"89,5526471300704";"94,268305402774";"";"";
"Angola";"AGO";"Access to electricity; urban (% of urban population)";"EG,ELC,ACCS,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"98,6494846908717";"96,2309207822248";"93,8537596856822";"91,5095282959647";"89,2112595608414";"86,9470745288621";"84,8829266226614";"82,5366911143351";"80,4002188283778";"78,3031972561303";"76,6491447616715";"74,2591174659492";"72,3305759115559";"70,014834009095";"";"";
"Albania";"ALB";"Access to electricity; urban (% of urban population)";"EG,ELC,ACCS,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"";"";
"Andorra";"AND";"Access to electricity; urban (% of urban population)";"EG,ELC,ACCS,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"";"";
"Arab World";"ARB";"Access to electricity; urban (% of urban population)";"EG,ELC,ACCS,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"93,662300477687";"93,4139308315767";"92,5040144359375";"93,0520855816946";"92,8247849087404";"93,159205208046";"93,4764105142444";"93,831704725516";"93,9967689560807";"92,7504438049866";"92,9868668151177";"93,4208397922803";"93,5340402524371";"93,74688361372";"95,5008810846761";"94,6495024177123";"94,9705220154387";"95,1401667262126";"95,3200850725899";"94,8696966307575";"95,5097031720391";"95,5805052541579";"95,6988889281641";"95,8059092014858";"95,9835158143687";"";"";
"United Arab Emirates";"ARE";"Access to electricity; urban (% of urban population)";"EG,ELC,ACCS,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"";"";
"Argentina";"ARG";"Access to electricity; urban (% of urban population)";"EG,ELC,ACCS,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Armenia";"ARM";"Access to electricity; urban (% of urban population)";"EG,ELC,ACCS,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"97,4655609518448";"97,6569904189268";"97,8477671916925";"98,035820975624";"98,2095416539995";"98,3817355989458";"98,5501398712038";"98,7013444563642";"98,8385743173657";"98,961298258078";"99,0639221994883";"100";"97,5070149664761";"99,3362609959484";"99,4134963750034";"99,8558020954021";"99,5671460938138";"99,6487700821853";"99,7396373905791";"99,8382080469842";"99,8";"99,9782515656762";"99,9970678861554";"100";"100";"";"";
"American Samoa";"ASM";"Access to electricity; urban (% of urban population)";"EG,ELC,ACCS,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
