Country Name,Population total,GDP (current US$),GDP per capita (current US$),Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Improved sanitation facilities (% of population with access),Improved water source (% of population with access),"Improved water source, rural (% of rural population with access)","Improved water source, urban (% of urban population with access)"
Aruba,103889,,,94.4683227539063,100,86.7597883700123,97.7,98.1,98.1,98.1
Afghanistan,32526562,19331286549.3323,594.323081219966,89.5,87.8,94.268305402774,31.9,55.3,47,78.2
Angola,25021974,102626929544805,4101.47215182964,32,3,70.014834009095,51.6,49,28.2,75.4
Albania,2889167,11398392444316,3945.21758150914,100,100,100,93.2,95.1,95.2,94.9
Andorra,70473,,,100,100,100,100,100,100,100
United Arab Emirates,9156963,370296255956433,40438.7629344394,100,100,100,97.6,99.6,100,99.6
Argentina,43416755,584711485365112,13467.4156409228,100,,,96.4,99.1,100,99
Armenia,3017712,10529182498.3475,3489.12768956995,100,100,100,89.5,100,100,100
American Samoa,55538,641000000,11541.6471605027,,,,62.5,100,100,100
Antigua and Barbuda,91818,1259259259.25926,13714.7319616988,96.442985534668,100,85.2957108145581,,97.9,97.9,97.9
Australia,23789752,1339140527498.13,56290.6468086817,100,100,100,100,100,100,100
Austria,8638366,376950249528668,43636.753701877,100,100,100,100,100,100,100
Azerbaijan,9649341,53047140347.4527,5497.48841371164,100,100,100,89.3,87,77.8,94.7
Burundi,11178921,3097324739.82522,277.068309170914,7,2,44.5133885303155,48,75.9,73.8,91.1
Belgium,11249420,455085948763447,40454.169971736,100,100,100,99.5,100,100,100
Benin,10879829,8290986804.45245,762.051205441965,34.1,16.0006504058838,57.5949680726607,19.7,77.9,72.1,85.2
Burkina Faso,18105570,10678201939.3595,589.774414136617,19.2,3,58.8158746301974,19.7,82.3,75.8,97.5
Bangladesh,160995642,195078665827565,1211.70153057661,62.4,51.4,84.220145760352,60.6,86.9,87,86.5
Bulgaria,7177991,50199117547.0415,6993.47735975728,100,100,100,86,99.4,99,99.6
Bahrain,1377237,31125851063.8298,22600.2140981035,100,100,100,99.2,100,100,100
"Bahamas, The",388019,8853519100,22817.2308572518,100,100,100,92,98.4,98.4,98.4
Bosnia and Herzegovina,3810416,16191716214.6829,4249.3303131949,100,100,100,94.8,99.9,100,99.7
Belarus,9489616,54608962634.9908,5754.60193910805,100,100,100,94.3,99.7,99.1,99.9
Belize,359287,1752861127.94553,4878.72126724745,92.4512481689453,85.6397705078125,100,90.5,99.5,100,98.9
Bermuda,65235,,,100,100,100,,,,
Bolivia,10724705,32997684515.1954,3076.79181060881,90.038729,71.474067,98.7321505719592,50.3,90,75.6,96.7
Brazil,207847528,1803652649613.75,8677.7681070797,99.650247,97.839087,99.959064053209,82.8,98.1,87,100
Barbados,284215,4385250000,15429.3404640853,100,100,100,96.2,99.7,99.7,99.7
Brunei Darussalam,423188,12930394937.8137,30554.7296658073,100,100,100,,,,
Bhutan,774830,2057947621.19283,2655.99889161858,100,95.9800186157227,100,50.4,100,100,100
Botswana,2262485,14389717321.1029,6360.13822018837,56.4823036193848,37.5237312316895,70.6756327930126,63.4,96.2,92.3,99.2
Central African Republic,4900274,1583776759.97697,323.201674024141,12.3297252655029,3.09772372245789,26.3176274813686,21.8,68.5,54.4,89.6
Canada,35848610,1552807652015.37,43315.7004418128,100,100,100,99.8,99.8,99,100
Switzerland,8281430,670789928809882,80999.287418946,100,100,100,99.9,100,100,100
Chile,17948141,240796388428.74,13416.2300390185,100,100,100,99.1,99,93.3,99.7
China,1371220000,11064664793255.7,8069.21193773116,100,100,100,76.5,95.5,93,97.5
