"Data Source";"World Development Indicators";

"Last Updated Date";"2017-04-27";

"Country Name";"Country Code";"Indicator Name";"Indicator Code";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";
"Aruba";"ABW";"Access to electricity; rural (% of rural population)";"EG,ELC,ACCS,RU,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"99,8367691040039";"99,8944778442383";"99,9441070556641";"99,97802734375";"99,9944686889648";"99,9993438720703";"100";"100";"100";"99,9993057250977";"99,994255065918";"99,9777526855469";"99,9454193115234";"99,9023895263672";"99,8613739013672";"99,8354187011719";"99,8332214355469";"99,8332214355469";"99,8564758300781";"99,8980178833008";"99,9432754516602";"99,9772796630859";"99,9942779541016";"99,9993286132813";"100";"";"";
"Afghanistan";"AFG";"Access to electricity; rural (% of rural population)";"EG,ELC,ACCS,RU,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,047560952603817";"0,389323681592941";"1,76782989501953";"2,41390109062195";"13";"17,3327465057373";"24,8266525268555";"32,5";"39,8778495788574";"32,4";"54,9887008666992";"63,8";"70,1293792724609";"87,8";"";"";
"Angola";"AGO";"Access to electricity; rural (% of rural population)";"EG,ELC,ACCS,RU,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20,0909194946289";"19,4530067443848";"18,8145580291748";"18,1729049682617";"17,5248432159424";"16,867166519165";"16,1966705322266";"15,5101509094238";"14,8044023513794";"14,0777654647827";"13,3347606658936";"12,5814571380615";"11,8239192962646";"11,0682144165039";"10,3204097747803";"9,58657073974609";"8,87276458740234";"8,8";"7,51645851135254";"6,86813354492188";"6,23472261428833";"5,5";"4,99772834777832";"4,38668870925903";"3";"";"";
"Albania";"ALB";"Access to electricity; rural (% of rural population)";"EG,ELC,ACCS,RU,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"";"";
"Andorra";"AND";"Access to electricity; rural (% of rural population)";"EG,ELC,ACCS,RU,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"";"";
"Arab World";"ARB";"Access to electricity; rural (% of rural population)";"EG,ELC,ACCS,RU,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"59,221537671743";"59,999216664368";"61,0703290178377";"61,8109982719383";"62,6165276238459";"63,3378969774058";"64,28207227053";"64,5184281570323";"65,9466257308053";"64,19152181302";"65,2959867276055";"65,6450845347012";"66,3440354794947";"67,5986003915353";"67,6729171627871";"70,2414954337884";"70,4092247131654";"71,3612300313679";"72,3945188765706";"71,7886671997695";"73,8289907206466";"74,6116144517751";"75,3580959365777";"76,8960686421923";"77,6638535547304";"";"";
"United Arab Emirates";"ARE";"Access to electricity; rural (% of rural population)";"EG,ELC,ACCS,RU,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"";"";
"Argentina";"ARG";"Access to electricity; rural (% of rural population)";"EG,ELC,ACCS,RU,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Armenia";"ARM";"Access to electricity; rural (% of rural population)";"EG,ELC,ACCS,RU,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"96,8095016479492";"97,0335388183594";"97,2570419311523";"97,4773330688477";"97,6912231445313";"97,8954925537109";"98,074951171875";"98,248291015625";"98,4039306640625";"98,5419616699219";"98,6";"98,7783050537109";"98,8872680664063";"98,9980621337891";"99,1167297363281";"99,7";"99,3998107910156";"99,5685577392578";"99,7393035888672";"99,8787536621094";"99,8";"99,9926986694336";"99,9994354248047";"100";"100";"";"";
"American Samoa";"ASM";"Access to electricity; rural (% of rural population)";"EG,ELC,ACCS,RU,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
