"Data Source";"World Development Indicators";

"Last Updated Date";"2017-04-27";

"Country Name";"Country Code";"Indicator Name";"Indicator Code";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";
"Aruba";"ABW";"Improved water source; urban (% of urban population with access)";"SH,H2O,SAFE,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"91,3";"91,6";"91,9";"92,3";"92,6";"92,9";"93,2";"93,6";"93,9";"94,2";"94,5";"94,9";"95,2";"95,5";"95,8";"96,2";"96,5";"96,8";"97,1";"97,4";"97,8";"98,1";"98,1";"98,1";"98,1";"";
"Afghanistan";"AFG";"Improved water source; urban (% of urban population with access)";"SH,H2O,SAFE,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"43";"43";"43";"43";"43";"44,8";"46,7";"48,5";"50,4";"52,2";"54,1";"55,9";"57,8";"59,6";"61,5";"63,3";"65,2";"67";"68,9";"70,7";"72,6";"74,5";"76,3";"78,2";"78,2";"";
"Angola";"AGO";"Improved water source; urban (% of urban population with access)";"SH,H2O,SAFE,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52,1";"52,1";"52,1";"52,1";"53,3";"54,5";"55,6";"56,8";"57,9";"59,1";"60,3";"61,4";"62,6";"63,8";"64,9";"66,1";"67,2";"68,4";"69,6";"70,7";"71,9";"73";"74,2";"75,4";"75,4";"75,4";"";
"Albania";"ALB";"Improved water source; urban (% of urban population with access)";"SH,H2O,SAFE,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"99,9";"99,5";"99,1";"98,8";"98,4";"98";"97,6";"97,2";"96,9";"96,5";"96,1";"95,7";"95,3";"94,9";"94,9";"";
"Andorra";"AND";"Improved water source; urban (% of urban population with access)";"SH,H2O,SAFE,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"";
"Arab World";"ARB";"Improved water source; urban (% of urban population with access)";"SH,H2O,SAFE,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"93,7930772256107";"93,7915633209601";"93,7125127236073";"92,582119431904";"92,3415762572374";"92,324519772725";"92,2405758221033";"92,1281946243119";"92,073161617128";"92,0309150214782";"91,9546363332654";"91,9109213041867";"92,4063070249508";"92,3471590658947";"92,2887728175288";"92,247325603059";"92,205047867202";"92,1496763059817";"91,9897357445747";"91,8841623107786";"91,7647124438625";"91,7287097565741";"92,049031722805";"92,8070123233603";"92,6668653463284";"94,3724788321379";"";
"United Arab Emirates";"ARE";"Improved water source; urban (% of urban population with access)";"SH,H2O,SAFE,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"99,6";"";
"Argentina";"ARG";"Improved water source; urban (% of urban population with access)";"SH,H2O,SAFE,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"97,5";"97,6";"97,6";"97,7";"97,7";"97,8";"97,9";"97,9";"98";"98";"98,1";"98,2";"98,2";"98,3";"98,3";"98,4";"98,5";"98,5";"98,6";"98,6";"98,7";"98,8";"98,8";"98,9";"98,9";"99";"";
"Armenia";"ARM";"Improved water source; urban (% of urban population with access)";"SH,H2O,SAFE,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98,1";"98,1";"98,1";"98,1";"98,1";"98,1";"98,1";"98,2";"98,3";"98,4";"98,5";"98,6";"98,7";"98,9";"99";"99,1";"99,2";"99,3";"99,4";"99,5";"99,6";"99,7";"99,8";"99,9";"100";"100";"";
"American Samoa";"ASM";"Improved water source; urban (% of urban population with access)";"SH,H2O,SAFE,UR,ZS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"93,6";"94";"94,4";"94,8";"95,3";"95,7";"96,1";"96,5";"96,9";"97,4";"97,8";"98,2";"98,6";"99";"99,4";"99,9";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"";
