Country Name,Population total,GDP (current US$),GDP per capita (current US$),Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Improved sanitation facilities (% of population with access),Improved water source (% of population with access),"Improved water source, rural (% of rural population with access)","Improved water source, urban (% of urban population with access)",maximum percentage
Aruba,103889,0,0,94.46832275,100,86.75978837,97.7,98.1,98.1,98.1,100
Afghanistan,32526562,19331286549,594.3230812,89.5,87.8,94.2683054,31.9,55.3,47,78.2,100
Angola,25021974,1.03E+14,4101.472152,32,3,70.01483401,51.6,49,28.2,75.4,100
Albania,2889167,1.14E+13,3945.217582,100,100,100,93.2,95.1,95.2,94.9,100
Andorra,70473,0,0,100,100,100,100,100,100,100,100
United Arab Emirates,9156963,3.70E+14,40438.76293,100,100,100,97.6,99.6,100,99.6,100
Argentina,43416755,5.85E+14,13467.41564,100,0,0,96.4,99.1,100,99,100
Armenia,3017712,10529182498,3489.12769,100,100,100,89.5,100,100,100,100
American Samoa,55538,641000000,11541.64716,0,0,0,62.5,100,100,100,100
Antigua and Barbuda,91818,1259259259,13714.73196,96.44298553,100,85.29571081,0,97.9,97.9,97.9,100
Australia,23789752,1.34E+12,56290.64681,100,100,100,100,100,100,100,100
Austria,8638366,3.77E+14,43636.7537,100,100,100,100,100,100,100,100
Azerbaijan,9649341,53047140347,5497.488414,100,100,100,89.3,87,77.8,94.7,100
Burundi,11178921,3097324740,277.0683092,7,2,44.51338853,48,75.9,73.8,91.1,100
Belgium,11249420,4.55E+14,40454.16997,100,100,100,99.5,100,100,100,100
Benin,10879829,8290986804,762.0512054,34.1,16.00065041,57.59496807,19.7,77.9,72.1,85.2,100
Burkina Faso,18105570,10678201939,589.7744141,19.2,3,58.81587463,19.7,82.3,75.8,97.5,100
Bangladesh,160995642,1.95E+14,1211.701531,62.4,51.4,84.22014576,60.6,86.9,87,86.5,100
Bulgaria,7177991,50199117547,6993.47736,100,100,100,86,99.4,99,99.6,100
Bahrain,1377237,31125851064,22600.2141,100,100,100,99.2,100,100,100,100
"Bahamas, The",388019,8853519100,22817.23086,100,100,100,92,98.4,98.4,98.4,100
Bosnia and Herzegovina,3810416,16191716215,4249.330313,100,100,100,94.8,99.9,100,99.7,100
Belarus,9489616,54608962635,5754.601939,100,100,100,94.3,99.7,99.1,99.9,100
Belize,359287,1752861128,4878.721267,92.45124817,85.63977051,100,90.5,99.5,100,98.9,100
Bermuda,65235,0,0,100,100,100,0,0,0,0,100
Bolivia,10724705,32997684515,3076.791811,90.038729,71.474067,98.73215057,50.3,90,75.6,96.7,100
Brazil,207847528,1.80E+12,8677.768107,99.650247,97.839087,99.95906405,82.8,98.1,87,100,100
Barbados,284215,4385250000,15429.34046,100,100,100,96.2,99.7,99.7,99.7,100
Brunei Darussalam,423188,12930394938,30554.72967,100,100,100,,,,,100
Bhutan,774830,2057947621,2655.998892,100,95.98001862,100,50.4,100,100,100,100
Botswana,2262485,14389717321,6360.13822,56.48230362,37.52373123,70.67563279,63.4,96.2,92.3,99.2,100
Central African Republic,4900274,1583776760,323.201674,12.32972527,3.097723722,26.31762748,21.8,68.5,54.4,89.6,100
Canada,35848610,1.55E+12,43315.70044,100,100,100,99.8,99.8,99,100,100
Switzerland,8281430,6.71E+14,80999.28742,100,100,100,99.9,100,100,100,100
Chile,17948141,2.41E+11,13416.23004,100,100,100,99.1,99,93.3,99.7,100
China,1371220000,1.11E+13,8069.211938,100,100,100,76.5,95.5,93,97.5,100
Cote d'Ivoire,22701556,31759248868,1398.989958,61.9,36.54494476,83.9561824,22.5,81.9,68.8,93.1,100
Cameroon,23344179,28415950981,1217.26067,56.8,22.16855621,86.51654657,45.8,75.6,52.7,94.8,100
"Congo, Dem. Rep.",77266814,35237742278,456.0527405,13.5,0.4,31.60830962,28.7,52.4,31.2,81.1,100
"Congo, Rep.",4620330,8553154506,1851.199916,43.16096115,10.39740562,60.83624576,15,76.5,40,95.8,100
Colombia,48228704,2.92E+11,6056.147717,97.790938,90.499782,100,81.1,91.4,73.8,96.8,100
Comoros,788474,565689764.5,717.44885,73.76432037,64.99347687,96.10341847,35.8,90.1,89.1,92.6,100
Cabo Verde,520502,1603239233,3080.178814,90.18797302,79.2068634,96.14254832,72.2,91.7,87.3,94,100
Costa Rica,4807850,5.41E+13,11260.09216,99.359291,98.414246,99.65911842,94.5,97.8,91.9,99.6,100
Cuba,11389562,87132800000,7650.232731,100,98.01223755,100,93.2,94.9,89.8,96.4,100
Curacao,157979,0,0,100,100,100,0,0,0,0,100
Cayman Islands,59967,0,0,100,100,100,95.6,97.4,,97.4,100
Cyprus,1165300,19559942331,23075.1127,100,100,100,100,100,100,100,100
Czech Republic,10546059,1.85E+14,17556.9243,100,100,100,99.1,100,100,100,100
Germany,81679769,3.36E+12,41178.4566,100,100,100,99.2,100,100,100,100
Djibouti,887861,1727000000,1945.124293,46.72739792,10.4226284,57.41176368,47.4,90,64.7,97.4,100
Dominica,72680,517218963,7116.386392,100,0,0,0,0,0,95.7,100
Denmark,5683483,3.01E+14,53014.64416,100,100,100,99.6,100,100,100,100
Dominican Republic,10528391,68102618092,6468.473492,98.470979,95.641568,99.26618344,84,84.7,81.9,85.4,100
Algeria,39666519,1.65E+14,4154.119692,100,99.62530518,100,87.6,83.6,81.8,84.3,100
Ecuador,16144363,1.00E+11,6205.064145,98.976067,97.054058,100,84.7,86.9,75.5,93.4,100
"Egypt, Arab Rep.",91508084,3.31E+14,3614.746766,99.8,99.8,99.8,94.7,99.4,99,100,100
Euro area,339373830,1.16E+13,34168.88609,100,100,100,98.9325886,99.93349391,99.81348882,99.97158713,100
Eritrea,0,0.00E+00,0,45.8334198,7.176318645,100,15.7,57.8,53.3,73.2,100
Spain,46443994,1.19E+12,25684.72442,100,100,100,99.9,100,100,100,100
Estonia,1314608,22459443274,17084.51742,100,100,100,97.2,99.6,99,100,100
Ethiopia,99390750,61539711687,619.1694065,27.2,12.2,91.0311941,28,57.3,48.6,93.1,100
Finland,5479531,2.32E+14,42403.46748,100,100,100,97.6,100,100,100,100
Fiji,892145,4425503075,4960.519954,100,76.31121826,100,91.1,95.7,91.2,99.5,100
France,66538391,2.42E+12,36352.48007,100,100,100,98.7,100,100,100,100
Faroe Islands,48199,0,0,0,100,100,0,0,0,0,100
"Micronesia, Fed. Sts.",104460,314971100,3015.231668,71.69416046,75.98281097,56.81825512,57.1,89,87.4,94.8,100
Gabon,1725292,14262032471,8266.445605,89.49419403,42.31358719,96.59409662,41.9,93.2,66.7,97.2,100
