CountryName,LifeExpectancy,Population,GDP,GDPpercapita,Continent
Aruba,75.57358537,103889,2584463687,25353.78754,America
Afghanistan,60.71717073,32526562,19331286549,594.3230812,Asia
Angola,52.66609756,25021974,1.02627E+11,4101.472152,Africa
Albania,78.01446341,2889167,11398392444,3945.217582,Europe
United Arab Emirates,77.5412439,9156963,3.70296E+11,40438.76293,Asia
Argentina,76.33421951,43416755,5.84711E+11,13467.41564,America
Armenia,74.79712195,3017712,10529182498,3489.12769,Asia
Antigua and Barbuda,76.10021951,91818,1259259259,13714.73196,America
Australia,82.45121951,23789752,1.33914E+12,56290.64681,Oceania
Austria,81.84390244,8638366,3.7695E+11,43636.7537,Europe
Azerbaijan,70.84878049,9649341,53047140347,5497.488414,Asia
Burundi,57.10704878,11178921,3097324740,277.0683092,Africa
Belgium,81.28780488,11249420,4.55086E+11,40454.16997,Europe
Benin,59.72070732,10879829,8290986804,762.0512054,Africa
Burkina Faso,58.93129268,18105570,10678201939,589.7744141,Africa
Bangladesh,72.00119512,160995642,1.95079E+11,1211.701531,Asia
Bulgaria,74.46585366,7177991,50199117547,6993.47736,Europe
Bahrain,76.81909756,1377237,31125851064,22600.2141,Asia
Bahamas. The,75.39682927,388019,8853519100,22817.23086,America
Bosnia and Herzegovina,76.58858537,3810416,16191716215,4249.330313,Europe
Belarus,73.62439024,9489616,54608962635,5754.601939,Europe
Belize,70.19236585,359287,1752861128,4878.721267,America
Bermuda,81.01219512,65235,5573710000,85748.06541,America
Bolivia,68.73960976,10724705,32997684515,3076.791811,America
Brazil,74.67587805,207847528,1.80365E+12,8677.768107,America
Barbados,75.65843902,284215,4385250000,15429.34046,America
Brunei Darussalam,79.04082927,423188,12930394938,30554.72967,Asia
Bhutan,69.83285366,774830,2057947621,2655.998892,Asia
Botswana,64.48741463,2262485,14389717321,6360.13822,Africa
Central African Republic,51.41912195,4900274,1583776760,323.201674,Africa
Canada,82.13763415,35848610,1.55281E+12,43315.70044,America
Switzerland,83.19756098,8281430,6.7079E+11,80999.28742,Europe
Channel Islands,80.75168293,163692,11514605842,73568.23483,Europe
Chile,81.78756098,17948141,2.40796E+11,13416.23004,America
China,75.98634146,1371220000,1.10647E+13,8069.211938,Asia
Cote d'Ivoire,51.9197561,22701556,31759248868,1398.989958,Africa
Cameroon,55.93439024,23344179,28415950981,1217.26067,Africa
Congo. Dem. Rep.,59.02390244,77266814,35237742278,456.0527405,Africa
Congo. Rep.,62.86765854,4620330,8553154506,1851.199916,Africa
Colombia,74.18202439,48228704,2.9208E+11,6056.147717,America
Comoros,63.55402439,788474,565689765,717.44885,Africa
Cabo Verde,73.35563415,520502,1603239233,3080.178814,Africa
Costa Rica,79.58646341,4807850,54136834091,11260.09216,America
Cuba,79.54641463,11389562,87132800000,7650.232731,America
Cyprus,80.30709756,1165300,19559942331,23075.1127,Europe
Czech Republic,79.47317073,10546059,1.85156E+11,17556.9243,Europe
Germany,81.0902439,81679769,3.36345E+12,41178.4566,Europe
Djibouti,62.28565854,887861,1727000000,1945.124293,Africa
Dominica,76.59756098,72680,517218963,7116.386392,America
